241,@teresaheeney will be on @galwaybayfm at 10:20am discussing #childcare #GE16 listen here,,,
242,The old Bert Ahern trick? Chiming in with any and all criticism of his own government.  #GE16,,,
243,We need to promote County Limerick as a proper tourist destination #GE16 #Limerick #INDs4Gov,,,
244,@NewstalkFM #ge16 I said you said!!! Must vulnerable people in our society suffer while these people score points. #dignity,,,
245,"All the @RENUAIreland candidates and their probability of election, based on @pppolitics odds #GE16",,,
246,"@carlosd6 yeah, first thing they did was cut the blind allowance, then respite care, then sick and poor got it in the neck. #marian #GE16",,,
247,"Enda Kenny 2011: ""With our 5 Point Plan and your help, we will get Ireland working"" #GE16 #thatsFineGaelness",,,
248,@CorruptCER well LabouRNU will be stuffing boards till cows come home until #ge16 is done #cronyism buys votes & labour don't mind @SIPTU,,,
249,@bearyear @lstwrd he'll be coming back fully briefed having been told when to talk but mostly keep it shut #GE16,,,
250,"Enda Kenny: ""Apple employ 5,000 people in Ireland. They pay their taxes..no special deals done.."" #GE16",,,
251,@ShameOfIreland @cassflower  Don't want a new app TY... But Claire Daly & Catherine Murphy figure prominently. #ge16 #politics,,,
252,"Insidious exactly fits the agenda of LAB/FG #twip #ge16 ""proceeding in a gradual, subtle way, but with very harmful effects""
253,Coverage from @newrossstandard #canvassing #GE16
254,Anti-water charges leader promises 'the biggest protest in Ireland ever' before election  :
255,""If you're near a tranny in the morning, get an earful of Alan Kelly talking about himself. All about jobs. #GE16",,,
256,USI urges the next Government to hold a referendum to #repealthe8th and let people decide #MakeASmartVote #GE16,,,
257,@MichealMartinTD @fiannafailparty @TerryTshannon @Tfitzgeraldcork @ODriscollTom #Dev This a great photo. #Ge16,,,
258,"An Taoiseach Enda Kenny speaking, ahead of #GE16 #fgaf16",,,
259,Housing policy Launch panel with @joefingalgreen @Costellop @LornaBogue @smytho  #VoteGreen2016 #GE16,,,
260,Why are so many Irish defeated before they start I hate that attitude of ah sure what's the use the next shower will fuck us too #GE16   1/2,,,
261,Bullet found at Irish ruling party's convention as election looms: ,,,
262,"Phil Hogan 2010: ""A better system of govt.. real accountability for the taxpayer's money"" #GE16 #IrishWater",,,
263,Interesting ... #early years #ge16 Would tackle costs to parents and quality,,,
264,Great reception canvassing for @carrie_smyth today. @Labour women out in force. #GE16,,,
265,Big #Limerick representation travelled to the @fiannafailparty Ard Fheis today in City West Dublin #af16 #ge16,,,
266,Find out about the sector supports we're calling for in our #GE16 submission,,,
267,"Wait, the messenger from the ELITES speaks. #Jan23 #right2water #Irishwater #fgaf16 #GE16 #Right2change #siteserv",,,
268,"Decisions are better when they are informed by the people affected"" as seen during #Marref #GE16 looks interesting!
269,@DublinFoodCoop Hi - could you share this street meditation #climatechange #ge16 event?
270,Our priorities for the years ahead #socdems #ge16 #betterfuture
271,#ge2016 #independece #ShannonAirport The key thing independence = growth. Parties = stagnation.
272,@TheBriefing2016 In Ireland it was Fine Gael last Election.
273,@rtenews @EndaKennyTD its early in spring #GE16
274,""Upcoming #GE16 debate in Waterford, only 1 catch you can,t enter to particulate in audience unless you re a member of d business community.",,,
275,Unity on the left. Oh wait.. #ge16  ,,,
276,At launch by @StartStrongIrl of their Early Years #ge16 campaign #Accessible #Affordable #Quality,,,
277,"Now they say the Irish are great at talking the aul blarney..here it is, at it finest. @agentathcliath @molloy1916  ",,,
278,Politicians ask do we want people we didn't vote for making decisions regarding EU membership. Looking at Northern Ireland Politicians-Yes,,,
279,Please RETWEET MY POSTS!!  and FOLLOW ME!! on Facebook to support my #GE16 campaign @RENUAIreland,,,
280,We Come One  via @YouTube #2016 #NewRising #NewBeginning #Faith #GE16 @sinnfeinireland the power to begin again in u.,,,
281,@jackiecahillff if social media has an influence on #GE16 consider this #FG #Labour govt #homeless,,,
282,"On radio Michael Noonan referred to recovery as being ""modest"". ""Modest and Fragile Recovery"" will be a winning theme for  campaign #ge16",,,
283,Gradually entering election mode in Dublin #GE16,,,
284,"Well done to @itsligosu, @TheUSI & students.  80,000 more students registered for #GE16 -",,,
285,"Mice, cockroaches & bed bugs urging support for Fine Gael & Labour to be returned at #ge16   #rtept #vinb #todaysor",,,
286,"@GE2016 No More #Quangos... unless, well, we want appoint someone we want...",,,
287,When you have money you go and fix things.' - @FerrisMartin #ntlt #GE16,,,
288,"#twip why would Irish expats return, they have internet abroad so I'm pretty sure they've read about the dire health system we have. #GE16",,,
289,Paddy Manning... can't stop laughing. please let his votes be under 100. #ge2016,,,
290,Election 2016:  Get ready to be hit by a digital deluge  via @IrishTimesOpEd #ge16 goes #digital,,,
291,"SF called to my house last night. ""We're canvassing for Sinn Fein."" Not a mention of candidate's name. I laughed #vinb #ge16",,,
292,"Smart vote , 3 candidates in Waterford #GE16 want 2 retain #Irishwater @PaudieCoffey @ciaramconway @4_JohnDeasyTD",,,
293,I highly doubt Mary Hanafin will be too perturbed by all the recent headlines. She's being made to look like quite a powerful figure #GE16,,,
294,100 years of independence will be celebrated on election year in Ireland. We don't celebrate independence but 1994 thina.,,,
295,Good news: Dermot Lacey is giving us a rest on twitter only because his phone is broken.  Anyone have a spare? #ge16,,,
296,At public meeting on traffic calming in Dunmore this evening. #GE16 #KeepsHisPromises,,,
